description,merchant,category
Monthly Salary,ABC Company,Salary
Grocery Shopping,DMart,Shopping
Uber Ride,Uber,Transport
Restaurant Dinner,Restaurant,Food
Electricity Bill,MSEDCL,Bills
Amazon Purchase,Amazon,Shopping
Netflix Subscription,Netflix,Entertainment
Fuel,HP Petrol Pump,Transport
Swiggy Order,Swiggy,Food
Mobile Bill,Jio,Bills
Salary Credit,Freelance Client,Salary
Restaurant Lunch,Restaurant,Food
Uber Ride,Uber,Transport
Shopping,Amazon,Shopping
Grocery Shopping,DMart,Shopping
Fuel,HP Petrol Pump,Transport
Swiggy Order,Swiggy,Food
Internet Bill,Jio,Bills
Movie Ticket,Movie,Entertainment
Restaurant Dinner,Restaurant,Food
Uber Ride,Uber,Transport
Amazon Purchase,Amazon,Shopping
Grocery Shopping,DMart,Shopping
Electricity Bill,MSEDCL,Bills
Netflix Subscription,Netflix,Entertainment
Fuel,HP Petrol Pump,Transport
Swiggy Order,Swiggy,Food
Restaurant Dinner,Restaurant,Food
Uber Ride,Uber,Transport
Shopping,Amazon,Shopping
Salary Credit,ABC Company,Salary
